Data,Casos,Obitos,Recuperados,UTI,Enfermaria,Testes,Negativos,Domiciliar
17/03/2020,1,0,1,0,0,26,13,5
18/03/2020,1,0,1,0,0,26,13,5
19/03/2020,1,0,1,0,0,26,13,5
20/03/2020,2,0,2,0,0,51,29,5
21/03/2020,2,0,2,0,0,51,29,5
22/03/2020,2,0,2,0,0,51,29,5
23/03/2020,7,0,2,0,0,59,39,5
24/03/2020,7,0,2,0,0,85,43,5
25/03/2020,7,0,3,0,0,104,48,4
26/03/2020,7,0,3,0,0,112,50,4
27/03/2020,11,0,4,0,0,123,58,4
28/03/2020,11,0,4,1,0,123,58,4
29/03/2020,11,0,4,1,0,123,58,4
30/03/2020,16,0,7,1,0,144,59,4
31/03/2020,16,0,9,2,0,152,75,4
01/04/20,16,0,9,1,0,122,54,4
02/04/20,17,0,9,1,1,178,82,4
03/04/20,17,0,9,1,1,186,89,4
04/04/20,20,0,9,3,2,148,89,4
05/04/20,24,0,9,4,1,151,74,4
06/04/20,30,0,11,3,2,200,108,4
07/04/20,31,0,11,3,3,220,154,4
08/04/20,32,0,11,3,3,222,158,4
09/04/20,33,0,11,3,2,230,177,4
10/04/20,34,0,11,3,7,230,177,4
11/04/20,34,0,11,3,7,230,117,4
12/04/20,34,0,13,3,1,254,189,17
13/04/2020,34,0,21,3,1,261,189,9
14/04/2020,37,0,21,4,1,272,208,11
15/04/2020,37,0,21,4,1,262,216,11
16/04/2020,41,0,22,4,1,291,234,14
17/04/2020,42,0,22,4,1,309,242,15
18/04/2020,43,0,25,4,1,300,230,14
19/04/2020,43,0,25,4,1,300,230,14
20/04/2020,44,0,25,4,1,300,257,15
21/04/2020,44,0,25,4,1,300,257,15
22/04/2020,44,0,25,2,3,344,272,14
23/04/2020,45,0,25,2,5,351,286,13
24/04/2020,45,0,31,2,2,352,286,9
25/04/2020,45,0,31,2,2,352,286,9
26/04/2020,48,0,31,3,2,352,286,12
27/04/2020,48,0,32,3,3,366,311,10
28/04/2020,49,0,32,3,2,382,311,12
29/04/2020,52,0,38,4,1,389,315,6
30/04/2020,56,0,39,5,2,1402,323,10
01/05/20,56,0,39,5,2,1402,323,10
02/05/20,58,0,39,7,2,1402,1323,10
03/05/20,58,0,39,8,2,1403,1326,9
04/05/20,60,1,40,8,2,1449,1374,9
