Data,Casos,Obitos,Recuperados,UTI,Enfermaria,Testes,Negativos,Domiciliar
18/03/2020,1,0,0,0,0,25,0,1
19/03/2020,1,0,0,0,0,25,0,1
20/03/2020,1,0,0,0,0,25,0,1
21/03/2020,1,0,0,0,0,25,0,1
22/03/2020,4,0,0,0,0,73,11,4
23/03/2020,4,0,0,0,0,73,31,4
24/03/2020,4,0,0,0,0,73,31,4
25/03/2020,5,0,0,0,0,145,31,5
26/03/2020,5,0,0,0,0,145,31,5
27/03/2020,5,0,0,0,0,145,31,5
28/03/2020,7,0,0,0,0,159,31,7
29/03/2020,10,0,4,0,0,220,106,6
30/03/2020,10,0,4,0,0,220,106,6
31/03/2020,11,0,7,1,0,231,147,3
01/04/20,13,0,8,1,0,238,148,4
02/04/20,13,0,8,1,0,238,148,4
03/04/20,23,0,10,1,0,267,181,12
04/04/20,25,0,10,2,0,275,210,13
05/04/20,25,0,10,2,0,275,210,13
06/04/20,27,0,14,2,0,296,218,11
07/04/20,28,0,16,2,0,358,279,10
08/04/20,29,0,17,3,0,380,289,9
09/04/20,29,0,17,3,0,380,289,9
10/04/20,29,0,18,3,0,410,328,8
11/04/20,30,0,18,3,0,426,328,9
12/04/20,30,0,18,3,0,426,338,8
13/04/2020,30,0,19,3,0,461,339,8
14/04/2020,32,0,21,3,0,461,371,8
15/04/2020,35,0,22,4,0,485,398,9
16/04/2020,35,0,22,3,0,485,398,9
17/04/2020,36,0,24,3,0,526,446,9
18/04/2020,38,0,24,3,0,536,451,11
19/04/2020,38,0,24,3,0,536,451,11
20/04/2020,38,0,24,3,0,536,451,11
21/04/2020,38,0,24,3,0,570,480,11
22/04/2020,38,0,24,3,0,570,480,11
23/04/2020,39,0,26,4,0,571,480,9
24/04/2020,40,0,26,4,0,572,480,9
25/04/2020,42,0,31,3,1,601,511,7
26/04/2020,42,1,31,3,1,601,511,7
27/04/2020,42,2,31,3,1,601,511,7
